case:concept:name,concept:name,time:timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases,label,magnitude
0148c141-4c10-43b8-9ebb-17f86ff9923e,confirm order,2024-03-11 10:57:41,657,3,0,10,0.05,0.05,2,308,deviant,125.02
01c534e2-f0a9-4ed3-855e-113f6435cc5b,check availability,2024-03-11 10:49:08,649,3,0,10,0.0,0.0,1,40,deviant,713.25
01c534e2-f0a9-4ed3-855e-113f6435cc5b,confirm order,2024-03-11 10:49:09,649,3,0,10,0.02,0.02,2,41,deviant,713.25
01c534e2-f0a9-4ed3-855e-113f6435cc5b,send invoice,2024-03-11 10:49:18,649,3,0,10,0.15,0.17,3,43,deviant,713.25
02056105-21d2-4c7c-baeb-34e1c4166a2f,check availability,2024-03-11 10:58:20,658,3,0,10,0.0,0.0,1,336,deviant,1310.1
02056105-21d2-4c7c-baeb-34e1c4166a2f,confirm order,2024-03-11 10:58:25,658,3,0,10,0.08,0.08,2,338,deviant,1310.1
024dcec3-9fe7-4970-99e8-32b59d882e04,check availability,2024-03-11 10:57:24,657,3,0,10,0.0,0.0,1,300,deviant,125.13
024dcec3-9fe7-4970-99e8-32b59d882e04,confirm order,2024-03-11 10:57:27,657,3,0,10,0.05,0.05,2,302,deviant,125.13
027e454e-3f70-400b-8b6d-86cac655ab70,check availability,2024-03-11 10:57:12,657,3,0,10,0.0,0.0,1,292,deviant,125.3
027e454e-3f70-400b-8b6d-86cac655ab70,confirm order,2024-03-11 10:57:14,657,3,0,10,0.03,0.03,2,294,deviant,125.3
027e454e-3f70-400b-8b6d-86cac655ab70,send invoice,2024-03-11 10:57:15,657,3,0,10,0.02,0.05,3,293,deviant,125.3
029c1009-e2c1-4c4d-a399-6f0f437611c9,check availability,2023-12-07 18:12:48,1092,12,3,18,0.0,0.0,1,110,deviant,45.03
029c1009-e2c1-4c4d-a399-6f0f437611c9,confirm order,2023-12-07 18:12:51,1092,12,3,18,0.05,0.05,2,112,deviant,45.03
033e250b-73d7-4367-aef4-7e743d70bee0,check availability,2023-12-07 18:12:40,1092,12,3,18,0.0,0.0,1,105,regular,0.0
033e250b-73d7-4367-aef4-7e743d70bee0,confirm order,2023-12-07 18:12:46,1092,12,3,18,0.1,0.1,2,106,regular,0.0
033e250b-73d7-4367-aef4-7e743d70bee0,send invoice,2023-12-07 18:12:49,1092,12,3,18,0.05,0.15,3,111,regular,0.0
0347753f-0bf5-46e1-91f8-59cc8e3c42b7,check availability,2024-03-11 10:56:14,656,3,0,10,0.0,0.0,1,263,regular,0.0
0347753f-0bf5-46e1-91f8-59cc8e3c42b7,confirm order,2024-03-11 10:56:20,656,3,0,10,0.1,0.1,2,265,regular,0.0
0347753f-0bf5-46e1-91f8-59cc8e3c42b7,send invoice,2024-03-11 10:56:30,656,3,0,10,0.17,0.27,3,269,regular,0.0
039ee537-d2bd-463e-90b6-f730ac2fc4d3,check availability,2024-03-11 10:52:15,652,3,0,10,0.0,0.0,1,135,regular,0.0
039ee537-d2bd-463e-90b6-f730ac2fc4d3,reject order,2024-03-11 10:52:18,652,3,0,10,0.05,0.05,2,136,regular,0.0
03a49425-0dc3-4ac2-b8dc-c48214833936,check availability,2023-12-08 02:24:00,144,12,4,2,0.0,0.0,1,136,regular,0.0
03a49425-0dc3-4ac2-b8dc-c48214833936,reject order,2023-12-08 02:24:02,144,12,4,2,0.03,0.03,2,135,regular,0.0
03ec838b-b8a9-4e89-9002-2d354e5dea1b,check availability,2023-12-07 18:11:07,1091,12,3,18,0.0,0.0,1,19,regular,0.0
03ec838b-b8a9-4e89-9002-2d354e5dea1b,reject order,2023-12-07 18:11:08,1091,12,3,18,0.02,0.02,2,20,regular,0.0
03f62d20-dfb1-4860-b01b-8fecb6cd3ef2,check availability,2024-03-11 10:57:12,657,3,0,10,0.0,0.0,1,292,regular,0.0
03f62d20-dfb1-4860-b01b-8fecb6cd3ef2,reject order,2024-03-11 10:57:16,657,3,0,10,0.07,0.07,2,293,regular,0.0
042490ae-d278-4e10-a66d-0d06ce165c62,check availability,2023-12-07 18:12:17,1092,12,3,18,0.0,0.0,1,82,regular,0.0
042490ae-d278-4e10-a66d-0d06ce165c62,reject order,2023-12-07 18:12:20,1092,12,3,18,0.05,0.05,2,85,regular,0.0
04501375-6737-4fbe-a979-8db67a3b6eff,check availability,2023-12-07 18:12:47,1092,12,3,18,0.0,0.0,1,108,regular,0.0
04501375-6737-4fbe-a979-8db67a3b6eff,reject order,2023-12-07 18:12:51,1092,12,3,18,0.07,0.07,2,112,regular,0.0
04784ad0-7264-4377-8268-d4acf6966fd4,check availability,2023-12-08 02:24:49,144,12,4,2,0.0,0.0,1,176,regular,0.0
04784ad0-7264-4377-8268-d4acf6966fd4,reject order,2023-12-08 02:24:53,144,12,4,2,0.07,0.07,2,179,regular,0.0
04eb8277-1dbe-4306-83b8-dd772ffb7c81,check availability,2023-12-07 18:12:50,1092,12,3,18,0.0,0.0,1,112,regular,0.0
04eb8277-1dbe-4306-83b8-dd772ffb7c81,reject order,2023-12-07 18:12:54,1092,12,3,18,0.07,0.07,2,114,regular,0.0
04eec745-6ebc-4b1c-93ca-bf5d04f59d84,check availability,2023-12-08 02:51:28,171,12,4,2,0.0,0.0,1,299,deviant,713.05
04eec745-6ebc-4b1c-93ca-bf5d04f59d84,confirm order,2023-12-08 02:51:30,171,12,4,2,0.03,0.03,2,303,deviant,713.05
05520d95-c1d9-42c3-a5d7-788e10600967,check availability,2024-03-11 10:56:26,656,3,0,10,0.0,0.0,1,268,regular,0.0
05520d95-c1d9-42c3-a5d7-788e10600967,reject order,2024-03-11 10:56:29,656,3,0,10,0.05,0.05,2,270,regular,0.0
0572e316-5dc9-4359-9161-353b6856ecc3,check availability,2024-03-11 10:55:54,655,3,0,10,0.0,0.0,1,251,regular,0.0
0572e316-5dc9-4359-9161-353b6856ecc3,confirm order,2024-03-11 10:55:57,655,3,0,10,0.05,0.05,2,253,regular,0.0
0572e316-5dc9-4359-9161-353b6856ecc3,send invoice,2024-03-11 10:56:06,656,3,0,10,0.15,0.2,3,257,regular,0.0
059caf0d-89c1-4700-9c21-09a19e7ecc07,check availability,2024-03-11 10:52:52,652,3,0,10,0.0,0.0,1,157,deviant,1701.15
059caf0d-89c1-4700-9c21-09a19e7ecc07,confirm order,2024-03-11 10:52:56,652,3,0,10,0.07,0.07,2,160,deviant,1701.15
059caf0d-89c1-4700-9c21-09a19e7ecc07,send invoice,2024-03-11 10:52:59,652,3,0,10,0.05,0.12,3,161,deviant,1701.15
05df3d07-08c0-4514-990b-5b55dd57a00b,check availability,2024-03-11 10:51:42,651,3,0,10,0.0,0.0,1,117,deviant,1455.32
05df3d07-08c0-4514-990b-5b55dd57a00b,confirm order,2024-03-11 10:51:48,651,3,0,10,0.1,0.1,2,120,deviant,1455.32
05df3d07-08c0-4514-990b-5b55dd57a00b,send invoice,2024-03-11 10:51:52,651,3,0,10,0.07,0.17,3,122,deviant,1455.32
061de857-bf8c-41bc-9551-06e8ffc79286,check availability,2024-03-11 10:50:53,650,3,0,10,0.0,0.0,1,91,deviant,1148.29
061de857-bf8c-41bc-9551-06e8ffc79286,confirm order,2024-03-11 10:50:58,650,3,0,10,0.08,0.08,2,95,deviant,1148.29
061de857-bf8c-41bc-9551-06e8ffc79286,send invoice,2024-03-11 10:51:07,651,3,0,10,0.15,0.23,3,98,deviant,1148.29
063d2acc-d755-4795-83d6-4cf8ddaf2425,check availability,2023-12-08 02:51:22,171,12,4,2,0.0,0.0,1,296,regular,0.0
063d2acc-d755-4795-83d6-4cf8ddaf2425,reject order,2023-12-08 02:51:28,171,12,4,2,0.1,0.1,2,299,regular,0.0
063f82e3-1f55-4a54-a30b-420ccbba91a7,check availability,2023-12-07 18:12:44,1092,12,3,18,0.0,0.0,1,105,regular,0.0
063f82e3-1f55-4a54-a30b-420ccbba91a7,confirm order,2023-12-07 18:12:47,1092,12,3,18,0.05,0.05,2,108,regular,0.0
063f82e3-1f55-4a54-a30b-420ccbba91a7,send invoice,2023-12-07 18:12:52,1092,12,3,18,0.08,0.13,3,111,regular,0.0
06652715-e73c-4e2e-8675-33bb49699e85,check availability,2024-03-11 10:53:45,653,3,0,10,0.0,0.0,1,189,regular,0.0
06652715-e73c-4e2e-8675-33bb49699e85,confirm order,2024-03-11 10:53:47,653,3,0,10,0.03,0.03,2,191,regular,0.0
06652715-e73c-4e2e-8675-33bb49699e85,send invoice,2024-03-11 10:53:51,653,3,0,10,0.07,0.1,3,191,regular,0.0
06b5c240-4a22-4287-bacc-9713e1065b39,check availability,2024-03-11 10:56:46,656,3,0,10,0.0,0.0,1,282,regular,0.0
06b5c240-4a22-4287-bacc-9713e1065b39,reject order,2024-03-11 10:56:50,656,3,0,10,0.07,0.07,2,283,regular,0.0
07527d40-65ec-4794-9322-5a42c16c5bfa,check availability,2024-03-11 10:56:43,656,3,0,10,0.0,0.0,1,279,regular,0.0
07527d40-65ec-4794-9322-5a42c16c5bfa,confirm order,2024-03-11 10:56:46,656,3,0,10,0.05,0.05,2,282,regular,0.0
0801034f-ce74-4ce6-b5c2-c852564ac762,check availability,2024-03-11 10:51:50,651,3,0,10,0.0,0.0,1,121,deviant,1455.05
0801034f-ce74-4ce6-b5c2-c852564ac762,confirm order,2024-03-11 10:51:52,651,3,0,10,0.03,0.03,2,122,deviant,1455.05
0838332f-99c2-4928-a39c-2d1130d01445,check availability,2023-12-08 02:52:15,172,12,4,2,0.0,0.0,1,348,deviant,1701.14
0838332f-99c2-4928-a39c-2d1130d01445,confirm order,2023-12-08 02:52:20,172,12,4,2,0.08,0.08,2,347,deviant,1701.14
0838332f-99c2-4928-a39c-2d1130d01445,send invoice,2023-12-08 02:52:24,172,12,4,2,0.07,0.15,3,347,deviant,1701.14
0850cff8-9b34-4154-9b6a-c7dea504e86f,check availability,2023-12-08 02:24:43,144,12,4,2,0.0,0.0,1,171,regular,0.0
0850cff8-9b34-4154-9b6a-c7dea504e86f,confirm order,2023-12-08 02:24:48,144,12,4,2,0.08,0.08,2,175,regular,0.0
088aac76-1e4f-40e2-b62f-c5af8c0bdbcd,check availability,2023-12-07 18:12:08,1092,12,3,18,0.0,0.0,1,74,regular,0.0
088aac76-1e4f-40e2-b62f-c5af8c0bdbcd,reject order,2023-12-07 18:12:09,1092,12,3,18,0.02,0.02,2,75,regular,0.0
089cfcbc-99b5-43b4-99ab-ed82d1d561dc,check availability,2024-03-11 10:49:57,649,3,0,10,0.0,0.0,1,63,deviant,713.08
089cfcbc-99b5-43b4-99ab-ed82d1d561dc,confirm order,2024-03-11 10:50:00,650,3,0,10,0.05,0.05,2,64,deviant,713.08
089cfcbc-99b5-43b4-99ab-ed82d1d561dc,send invoice,2024-03-11 10:50:03,650,3,0,10,0.05,0.1,3,67,deviant,713.08
08bbd0a8-3eae-4535-b0b8-a5de2e6ab7ab,check availability,2023-12-08 02:26:11,146,12,4,2,0.0,0.0,1,256,deviant,1570.15
08bbd0a8-3eae-4535-b0b8-a5de2e6ab7ab,confirm order,2023-12-08 02:26:17,146,12,4,2,0.1,0.1,2,260,deviant,1570.15
08bbd0a8-3eae-4535-b0b8-a5de2e6ab7ab,send invoice,2023-12-08 02:26:24,146,12,4,2,0.12,0.22,3,274,deviant,1570.15
0915e67e-0ed5-44d1-bf06-79aeb04eb5dc,check availability,2024-03-11 10:48:49,648,3,0,10,0.0,0.0,1,33,regular,0.0
0915e67e-0ed5-44d1-bf06-79aeb04eb5dc,reject order,2024-03-11 10:48:51,648,3,0,10,0.03,0.03,2,33,regular,0.0
0a7aed8a-1fd4-49da-97a9-ca6bf1cf3d39,check availability,2024-03-11 10:49:54,649,3,0,10,0.0,0.0,1,63,deviant,713.22
0a7aed8a-1fd4-49da-97a9-ca6bf1cf3d39,confirm order,2024-03-11 10:49:56,649,3,0,10,0.03,0.03,2,63,deviant,713.22
0a7aed8a-1fd4-49da-97a9-ca6bf1cf3d39,send invoice,2024-03-11 10:50:04,650,3,0,10,0.13,0.17,3,67,deviant,713.22
0b1ff5db-0902-4964-8300-046c17801738,check availability,2024-03-11 10:58:17,658,3,0,10,0.0,0.0,1,334,deviant,1310.3
0b1ff5db-0902-4964-8300-046c17801738,confirm order,2024-03-11 10:58:22,658,3,0,10,0.08,0.08,2,336,deviant,1310.3
0b1ff5db-0902-4964-8300-046c17801738,send invoice,2024-03-11 10:58:28,658,3,0,10,0.1,0.18,3,339,deviant,1310.3
0b630ce8-5473-4dae-961c-943bde8a0169,check availability,2024-03-11 10:49:37,649,3,0,10,0.0,0.0,1,56,regular,0.0
0b630ce8-5473-4dae-961c-943bde8a0169,reject order,2024-03-11 10:49:42,649,3,0,10,0.08,0.08,2,57,regular,0.0
0beea54c-cdc0-4100-a6e6-3a731c4a725b,check availability,2024-03-11 10:57:26,657,3,0,10,0.0,0.0,1,301,regular,0.0
0beea54c-cdc0-4100-a6e6-3a731c4a725b,reject order,2024-03-11 10:57:29,657,3,0,10,0.05,0.05,2,303,regular,0.0
0c1351c1-fc57-4763-a00c-006251b5df6d,check availability,2023-12-08 02:25:19,145,12,4,2,0.0,0.0,1,200,regular,0.0
0c1351c1-fc57-4763-a00c-006251b5df6d,confirm order,2023-12-08 02:25:24,145,12,4,2,0.08,0.08,2,210,regular,0.0
0c1f11f9-24f6-4dbc-a29e-e6d49c93097f,check availability,2024-03-11 10:57:45,657,3,0,10,0.0,0.0,1,311,deviant,125.25
0c1f11f9-24f6-4dbc-a29e-e6d49c93097f,confirm order,2024-03-11 10:57:47,657,3,0,10,0.03,0.03,2,312,deviant,125.25
0c1f11f9-24f6-4dbc-a29e-e6d49c93097f,send invoice,2024-03-11 10:57:53,657,3,0,10,0.1,0.13,3,316,deviant,125.25
0c4f4aed-5e9e-44e5-927b-2ee33b279174,check availability,2024-03-11 10:54:30,654,3,0,10,0.0,0.0,1,207,regular,0.0
0c4f4aed-5e9e-44e5-927b-2ee33b279174,confirm order,2024-03-11 10:54:34,654,3,0,10,0.07,0.07,2,209,regular,0.0
0c4f4aed-5e9e-44e5-927b-2ee33b279174,send invoice,2024-03-11 10:54:39,654,3,0,10,0.08,0.15,3,211,regular,0.0
0cbfc0d1-8bca-436d-9113-73ee890b8deb,check availability,2023-12-08 02:24:38,144,12,4,2,0.0,0.0,1,164,regular,0.0
0cbfc0d1-8bca-436d-9113-73ee890b8deb,confirm order,2023-12-08 02:24:44,144,12,4,2,0.1,0.1,2,172,regular,0.0
0cbfc0d1-8bca-436d-9113-73ee890b8deb,send invoice,2023-12-08 02:24:48,144,12,4,2,0.07,0.17,3,175,regular,0.0
0d12564c-c853-454f-a073-f85e9247d015,check availability,2023-12-07 18:12:19,1092,12,3,18,0.0,0.0,1,85,regular,0.0
0d12564c-c853-454f-a073-f85e9247d015,confirm order,2023-12-07 18:12:22,1092,12,3,18,0.05,0.05,2,86,regular,0.0
0d12564c-c853-454f-a073-f85e9247d015,send invoice,2023-12-08 09:55:27,595,12,4,9,0.0,943.13,3,275,regular,0.0
0d45d7a0-cad4-40b3-b53a-e8d69e895588,check availability,2024-03-11 10:48:34,648,3,0,10,0.0,0.0,1,26,regular,0.0
0d45d7a0-cad4-40b3-b53a-e8d69e895588,reject order,2024-03-11 10:48:38,648,3,0,10,0.07,0.07,2,28,regular,0.0
0d6571d7-d94d-4e88-813a-69cb89d2d2ce,check availability,2023-12-07 18:12:28,1092,12,3,18,0.0,0.0,1,93,regular,0.0
0d6571d7-d94d-4e88-813a-69cb89d2d2ce,confirm order,2023-12-07 18:12:29,1092,12,3,18,0.02,0.02,2,94,regular,0.0
0da55491-c9e8-4726-867b-d828efaeb225,check availability,2024-03-11 10:54:24,654,3,0,10,0.0,0.0,1,206,regular,0.0
0da55491-c9e8-4726-867b-d828efaeb225,confirm order,2024-03-11 10:54:29,654,3,0,10,0.08,0.08,2,206,regular,0.0
0da55491-c9e8-4726-867b-d828efaeb225,send invoice,2024-03-11 10:54:33,654,3,0,10,0.07,0.15,3,209,regular,0.0
0dc3987e-1da7-4ae8-b2fc-f6ac0794379e,check availability,2024-03-11 10:48:12,648,3,0,10,0.0,0.0,1,12,deviant,125.07
0dc3987e-1da7-4ae8-b2fc-f6ac0794379e,confirm order,2024-03-11 10:48:15,648,3,0,10,0.05,0.05,2,14,deviant,125.07
0ddd51d4-f8a7-480d-9170-a5d44bc1fad1,check availability,2024-03-11 10:49:40,649,3,0,10,0.0,0.0,1,59,regular,0.0
0ddd51d4-f8a7-480d-9170-a5d44bc1fad1,reject order,2024-03-11 10:49:44,649,3,0,10,0.07,0.07,2,57,regular,0.0
0e6624a2-d5e0-4a52-8a57-83044070bdbd,check availability,2023-12-07 18:12:07,1092,12,3,18,0.0,0.0,1,74,regular,0.0
0e6624a2-d5e0-4a52-8a57-83044070bdbd,confirm order,2023-12-07 18:12:13,1092,12,3,18,0.1,0.1,2,77,regular,0.0
0e6624a2-d5e0-4a52-8a57-83044070bdbd,send invoice,2023-12-07 18:12:25,1092,12,3,18,0.2,0.3,3,90,regular,0.0
0e6c5058-00ed-4b10-98ea-3ae790bb9f26,check availability,2023-12-08 02:25:36,145,12,4,2,0.0,0.0,1,220,deviant,15.27
0e6c5058-00ed-4b10-98ea-3ae790bb9f26,confirm order,2023-12-08 02:25:41,145,12,4,2,0.08,0.08,2,227,deviant,15.27
0e6c5058-00ed-4b10-98ea-3ae790bb9f26,send invoice,2023-12-08 02:25:48,145,12,4,2,0.12,0.2,3,232,deviant,15.27
0eed7b12-0245-49aa-ac51-7dfea53c47b0,check availability,2023-12-08 02:52:09,172,12,4,2,0.0,0.0,1,336,regular,0.0
0eed7b12-0245-49aa-ac51-7dfea53c47b0,reject order,2023-12-08 02:52:14,172,12,4,2,0.08,0.08,2,345,regular,0.0
0f677748-3d92-477d-8000-ff67325e59a5,check availability,2023-12-08 02:26:26,146,12,4,2,0.0,0.0,1,283,deviant,1570.09
0f677748-3d92-477d-8000-ff67325e59a5,confirm order,2023-12-08 02:26:28,146,12,4,2,0.03,0.03,2,283,deviant,1570.09
0f69c9a0-7b93-4eb7-9464-c68e15574e80,check availability,2023-12-08 02:24:43,144,12,4,2,0.0,0.0,1,171,regular,0.0
0f69c9a0-7b93-4eb7-9464-c68e15574e80,confirm order,2023-12-08 02:24:44,144,12,4,2,0.02,0.02,2,172,regular,0.0
0f69c9a0-7b93-4eb7-9464-c68e15574e80,send invoice,2023-12-08 02:24:49,144,12,4,2,0.08,0.1,3,176,regular,0.0
0f99adc2-6ea2-42cf-8b40-b224469231e4,check availability,2023-12-08 02:24:47,144,12,4,2,0.0,0.0,1,174,regular,0.0
0f99adc2-6ea2-42cf-8b40-b224469231e4,confirm order,2023-12-08 02:24:51,144,12,4,2,0.07,0.07,2,177,regular,0.0
0f99adc2-6ea2-42cf-8b40-b224469231e4,send invoice,2023-12-08 02:24:55,144,12,4,2,0.07,0.13,3,179,regular,0.0
0faea89f-7670-47bd-9f45-05a4deef2618,check availability,2023-12-08 02:24:17,144,12,4,2,0.0,0.0,1,148,regular,0.0
0faea89f-7670-47bd-9f45-05a4deef2618,confirm order,2023-12-08 02:24:23,144,12,4,2,0.1,0.1,2,154,regular,0.0
0fd18db2-62f7-428a-844d-f0c8fd45303e,check availability,2024-03-11 10:57:16,657,3,0,10,0.0,0.0,1,293,deviant,125.34
0fd18db2-62f7-428a-844d-f0c8fd45303e,confirm order,2024-03-11 10:57:21,657,3,0,10,0.08,0.08,2,298,deviant,125.34
0fd18db2-62f7-428a-844d-f0c8fd45303e,send invoice,2024-03-11 10:57:22,657,3,0,10,0.02,0.1,3,298,deviant,125.34
0fd1e595-8208-4ee4-9b22-f4b93eb396bf,check availability,2024-03-11 10:49:54,649,3,0,10,0.0,0.0,1,63,deviant,713.13
0fd1e595-8208-4ee4-9b22-f4b93eb396bf,confirm order,2024-03-11 10:49:55,649,3,0,10,0.02,0.02,2,63,deviant,713.13
0fd1e595-8208-4ee4-9b22-f4b93eb396bf,send invoice,2024-03-11 10:49:59,649,3,0,10,0.07,0.08,3,63,deviant,713.13
0fd55167-4e8e-40c6-a31e-d63b4b3f4296,check availability,2024-03-11 10:55:54,655,3,0,10,0.0,0.0,1,251,regular,0.0
0fd55167-4e8e-40c6-a31e-d63b4b3f4296,confirm order,2024-03-11 10:55:59,655,3,0,10,0.08,0.08,2,254,regular,0.0
0fd55167-4e8e-40c6-a31e-d63b4b3f4296,send invoice,2024-03-11 10:56:02,656,3,0,10,0.05,0.13,3,255,regular,0.0
11004d75-1b0a-49e2-b092-66c1db1a449b,check availability,2023-12-08 02:24:31,144,12,4,2,0.0,0.0,1,158,regular,0.0
11004d75-1b0a-49e2-b092-66c1db1a449b,confirm order,2023-12-08 02:24:35,144,12,4,2,0.07,0.07,2,162,regular,0.0
11004d75-1b0a-49e2-b092-66c1db1a449b,send invoice,2023-12-08 02:24:45,144,12,4,2,0.17,0.23,3,171,regular,0.0
1137cd4b-f0c2-44a6-9c7e-e17a15dcb7c5,check availability,2023-12-07 18:12:35,1092,12,3,18,0.0,0.0,1,101,regular,0.0
1137cd4b-f0c2-44a6-9c7e-e17a15dcb7c5,confirm order,2023-12-07 18:12:39,1092,12,3,18,0.07,0.07,2,103,regular,0.0
1150812c-3781-427c-bb5e-b4c76c6d6664,check availability,2023-12-07 18:11:29,1091,12,3,18,0.0,0.0,1,39,regular,0.0
1150812c-3781-427c-bb5e-b4c76c6d6664,confirm order,2023-12-07 18:11:32,1091,12,3,18,0.05,0.05,2,42,regular,0.0
1150812c-3781-427c-bb5e-b4c76c6d6664,send invoice,2023-12-07 18:11:40,1091,12,3,18,0.13,0.18,3,47,regular,0.0
115c7ba6-4855-407b-a3e3-4c318ca9a423,check availability,2024-03-11 10:48:37,648,3,0,10,0.0,0.0,1,28,regular,0.0
115c7ba6-4855-407b-a3e3-4c318ca9a423,reject order,2024-03-11 10:48:42,648,3,0,10,0.08,0.08,2,30,regular,0.0
11ac4be8-af00-451b-87cb-f7871e26f821,check availability,2023-12-07 18:10:56,1090,12,3,18,0.0,0.0,1,13,regular,0.0
11ac4be8-af00-451b-87cb-f7871e26f821,reject order,2023-12-07 18:11:01,1091,12,3,18,0.08,0.08,2,16,regular,0.0
11bd82a8-9818-4eb0-a61b-2db8e1174ec4,check availability,2023-12-08 02:25:22,145,12,4,2,0.0,0.0,1,204,regular,0.0
11bd82a8-9818-4eb0-a61b-2db8e1174ec4,reject order,2023-12-08 02:25:26,145,12,4,2,0.07,0.07,2,210,regular,0.0
11e914d1-426f-4882-83f1-2565834e1777,check availability,2024-03-11 10:50:21,650,3,0,10,0.0,0.0,1,75,deviant,1148.22
11e914d1-426f-4882-83f1-2565834e1777,confirm order,2024-03-11 10:50:24,650,3,0,10,0.05,0.05,2,76,deviant,1148.22
11e914d1-426f-4882-83f1-2565834e1777,send invoice,2024-03-11 10:50:33,650,3,0,10,0.15,0.2,3,80,deviant,1148.22
120d1429-6cc5-459b-8284-97be8894bdbc,check availability,2023-12-08 02:25:21,145,12,4,2,0.0,0.0,1,203,regular,0.0
120d1429-6cc5-459b-8284-97be8894bdbc,confirm order,2023-12-08 02:25:27,145,12,4,2,0.1,0.1,2,211,regular,0.0
12207b39-e498-442f-9f9e-8c6a1ae79029,check availability,2023-12-08 02:51:35,171,12,4,2,0.0,0.0,1,305,deviant,713.08
12207b39-e498-442f-9f9e-8c6a1ae79029,confirm order,2023-12-08 02:51:41,171,12,4,2,0.1,0.1,2,311,deviant,713.08
12833937-d80b-4cb4-82db-090e2e0c8bd1,check availability,2024-03-11 10:52:53,652,3,0,10,0.0,0.0,1,158,deviant,1701.1
12833937-d80b-4cb4-82db-090e2e0c8bd1,confirm order,2024-03-11 10:52:57,652,3,0,10,0.07,0.07,2,160,deviant,1701.1
12833937-d80b-4cb4-82db-090e2e0c8bd1,send invoice,2024-03-11 10:52:59,652,3,0,10,0.03,0.1,3,161,deviant,1701.1
12de0a5e-f5b8-43dd-b371-eb11dc3640f4,ship goods,2023-12-08 04:16:20,256,12,4,4,0.0,0.0,1,350,regular,0.0
12de0a5e-f5b8-43dd-b371-eb11dc3640f4,archive order,2023-12-08 04:16:21,256,12,4,4,0.02,0.02,2,347,regular,0.0
12f732b0-9ea3-4743-9fb5-888b49136f4e,check availability,2023-12-08 02:51:29,171,12,4,2,0.0,0.0,1,300,deviant,713.04
12f732b0-9ea3-4743-9fb5-888b49136f4e,confirm order,2023-12-08 02:51:34,171,12,4,2,0.08,0.08,2,304,deviant,713.04
13171857-dec6-4158-b51f-f3d106c7d5b3,check availability,2023-12-08 02:25:18,145,12,4,2,0.0,0.0,1,200,regular,0.0
13171857-dec6-4158-b51f-f3d106c7d5b3,confirm order,2023-12-08 02:25:23,145,12,4,2,0.08,0.08,2,206,regular,0.0
13171857-dec6-4158-b51f-f3d106c7d5b3,send invoice,2023-12-08 02:25:35,145,12,4,2,0.2,0.28,3,218,regular,0.0
1366d6f0-2459-4d3c-b63a-bcf952efc428,check availability,2023-12-08 02:25:23,145,12,4,2,0.0,0.0,1,206,regular,0.0
1366d6f0-2459-4d3c-b63a-bcf952efc428,confirm order,2023-12-08 02:25:29,145,12,4,2,0.1,0.1,2,214,regular,0.0
13dbc225-0b2f-40e4-bfae-fb22cbe3773c,check availability,2024-03-11 10:54:29,654,3,0,10,0.0,0.0,1,206,regular,0.0
13dbc225-0b2f-40e4-bfae-fb22cbe3773c,confirm order,2024-03-11 10:54:34,654,3,0,10,0.08,0.08,2,209,regular,0.0
13dbc225-0b2f-40e4-bfae-fb22cbe3773c,send invoice,2024-03-11 10:54:36,654,3,0,10,0.03,0.12,3,210,regular,0.0
13f4455f-2bbf-4571-b321-1a21611be98c,check availability,2023-12-07 18:12:15,1092,12,3,18,0.0,0.0,1,78,regular,0.0
